,numeric,numeric,numeric,numeric,,,,,,,
heading,Discharge (m3/s),V (m/sec),V2/2g (meters),hf (meters / 100 meters of pipe),,,,,,,
data,0.000001263,0.0344424,0.0000603504,0.272,,,,,,,
data,0.000002523,0.0688848,0.000241402,0.543,,,,,,,
data,0.000003794,0.1033272,0.000542544,0.815,,,,,,,
data,0.000005040,0.1377696,0.000966216,1.087,,,,,,,
data,0.000006315,0.172212,0.00150876,1.359,,,,,,,
data,0.000007561,0.2063496,0.002173224,1.63,,,,,,,
data,0.000008835,0.240792,0.002959608,1.902,,,,,,,
data,0.00001008,0.2752344,0.00390144,2.174,,,,,,,
data,0.00001136,0.310896,0.0048768,2.445,,,,,,,
data,0.00001263,0.344424,0.00603504,2.717,,,,,,,
data,0.00001892,0.515112,0.01359408,9.7,,,,,,,
data,0.00002523,0.688848,0.02414016,16.2,,,,,,,
data,0.00003143,0.859536,0.0377952,24.2,,,,,,,
data,0.00003794,1.033272,0.0542544,33.8,,,,,,,
data,0.00004417,1.20396,0.0740664,44.8,,,,,,,
data,0.00005040,1.377696,0.0966216,57.4,,,,,,,
data,0.00005692,1.548384,0.1222248,71.6,,,,,,,
data,0.00006315,1.72212,0.150876,87,,,,,,,
data,0.00007561,2.063496,0.2173224,122,,,,,,,
data,0.00008835,2.40792,0.2959608,164,,,,,,,
data,0.000100808,2.752344,0.390144,212,,,,,,,
data,0.00011355,3.10896,0.48768,265,,,,,,,
data,0.000126293,3.44424,0.603504,324,,,,,,,
,,,,,,,,,,,
