material,nominal_size,nominal_od,nominal_id,nominal_thickness,epsilon,selector_label,selector_value
Aluminum alloy pipe - extruded per ANSI H35.2-2017,0.125,0.405,0.269,0.068,0.000005,- / 40 / 0.068,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,0.125,0.405,0.215,0.095,0.000005,- / 80 / 0.095,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,0.25,0.54,0.364,0.088,0.000005,- / 40 / 0.088,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,0.25,0.54,0.302,0.119,0.000005,- / 80 / 0.119,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,0.375,0.675,0.493,0.091,0.000005,- / 40 / 0.091,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,0.375,0.675,0.423,0.126,0.000005,- / 80 / 0.126,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,0.5,0.84,0.710,0.065,0.000005,- / 5 / 0.065,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,0.5,0.84,0.674,0.083,0.000005,- / 10 / 0.083,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,0.5,0.84,0.622,0.109,0.000005,- / 40 / 0.109,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,0.5,0.84,0.546,0.147,0.000005,- / 80 / 0.147,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,0.5,0.84,0.464,0.188,0.000005,- / 160 / 0.188,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,0.75,1.05,0.920,0.065,0.000005,- / 5 / 0.065,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,0.75,1.05,0.884,0.083,0.000005,- / 10 / 0.083,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,0.75,1.05,0.824,0.113,0.000005,- / 40 / 0.113,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,0.75,1.05,0.742,0.154,0.000005,- / 80 / 0.154,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,0.75,1.05,0.612,0.219,0.000005,- / 160 / 0.219,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,1.0,1.315,1.185,0.065,0.000005,- / 5 / 0.065,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,1.0,1.315,1.097,0.109,0.000005,- / 10 / 0.109,Identification / Pipe Schedule / Wall Thickness
Aluminum alloy pipe - extruded per ANSI H35.2-2017,1.0,1.315,1.049,0.133,0.000005,- / 40 / 0.133,Identification / Pipe Schedule / Wall Thickness
