,numeric,numeric,numeric,numeric,numeric,numeric,numeric
heading,Temp. (°C),Density (kg/m³),Specific Volume (m³/kg),SG 4 °C Ref,SG 15.56 °C Ref,SG 20 °C Ref,Pressure (MPa)
data,0.0,999.79,0.001000,0.99986,1.00082,1.00163,0.000612
data,5.0,999.92,0.001000,0.99999,1.00095,1.00176,0.000873
data,10.0,999.65,0.001000,0.99972,1.00068,1.00149,0.001228
data,15.0,999.06,0.001001,0.99913,1.00009,1.00090,0.001706
data,20.0,998.16,0.001002,0.99823,0.99919,1.00000,0.002339
data,25.0,997.00,0.001003,0.99707,0.99803,0.99884,0.003170
data,30.0,995.61,0.001004,0.99568,0.99664,0.99745,0.004247
data,35.0,993.99,0.001006,0.99406,0.99501,0.99582,0.005629
data,40.0,992.18,0.001008,0.99225,0.99320,0.99401,0.007385
data,45.0,990.17,0.001010,0.99024,0.99119,0.99200,0.009595
data,50.0,988.00,0.001012,0.98807,0.98902,0.98982,0.012352
data,55.0,985.66,0.001015,0.98573,0.98668,0.98748,0.015762
data,60.0,983.16,0.001017,0.98323,0.98417,0.98497,0.019946
data,65.0,980.52,0.001020,0.98059,0.98153,0.98233,0.025042
data,70.0,977.73,0.001023,0.97780,0.97874,0.97953,0.031201
data,75.0,974.81,0.001026,0.97488,0.97582,0.97661,0.038595
data,80.0,971.77,0.001029,0.97184,0.97277,0.97356,0.047414
data,85.0,968.59,0.001032,0.96866,0.96959,0.97038,0.057867
data,90.0,965.30,0.001036,0.96537,0.96630,0.96708,0.070182
data,95.0,961.88,0.001040,0.96195,0.96287,0.96365,0.084608
data,100.0,958.35,0.001044,0.95842,0.95934,0.96012,0.101420
data,105.0,954.70,0.001047,0.95477,0.95568,0.95646,0.120900
data,110.0,950.95,0.001052,0.95102,0.95193,0.95270,0.143380
data,115.0,947.08,0.001056,0.94715,0.94806,0.94883,0.169180
data,120.0,943.11,0.001060,0.94318,0.94408,0.94485,0.198670
data,125.0,939.02,0.001065,0.93909,0.93999,0.94075,0.232240
data,130.0,934.83,0.001070,0.93490,0.93579,0.93655,0.270280
data,135.0,930.54,0.001075,0.93061,0.93150,0.93226,0.313230
data,140.0,926.13,0.001080,0.92619,0.92708,0.92784,0.361540
data,145.0,921.62,0.001085,0.92168,0.92257,0.92332,0.415680
data,150.0,917.01,0.001091,0.91707,0.91796,0.91870,0.476160
data,155.0,912.28,0.001096,0.91234,0.91322,0.91396,0.543500
data,160.0,907.45,0.001102,0.90751,0.90839,0.90912,0.618230
data,165.0,902.51,0.001108,0.90257,0.90344,0.90417,0.700930
data,170.0,897.45,0.001114,0.89751,0.89838,0.89910,0.792190
data,175.0,892.28,0.001121,0.89234,0.89320,0.89392,0.892600
data,180.0,887.00,0.001127,0.88706,0.88791,0.88864,1.002800
data,185.0,881.60,0.001134,0.88166,0.88251,0.88323,1.123500
data,190.0,876.08,0.001142,0.87614,0.87698,0.87769,1.255200
data,195.0,870.43,0.001149,0.87049,0.87133,0.87203,1.398800
data,200.0,864.66,0.001157,0.86472,0.86555,0.86625,1.554900
data,205.0,858.76,0.001165,0.85882,0.85965,0.86034,1.724300
data,210.0,852.72,0.001173,0.85278,0.85360,0.85429,1.907700
data,215.0,846.54,0.001181,0.84660,0.84741,0.84810,2.105800
data,220.0,840.22,0.001190,0.84028,0.84109,0.84177,2.319600
data,225.0,833.75,0.001199,0.83381,0.83461,0.83529,2.549700
data,230.0,827.12,0.001209,0.82718,0.82797,0.82864,2.797100
data,235.0,820.33,0.001219,0.82039,0.82118,0.82184,3.062500
data,240.0,813.37,0.001230,0.81343,0.81421,0.81487,3.346900
data,245.0,806.22,0.001240,0.80628,0.80705,0.80771,3.651200
data,250.0,798.89,0.001252,0.79895,0.79971,0.80036,3.976200
data,255.0,791.37,0.001264,0.79143,0.79219,0.79283,4.322900
data,260.0,783.63,0.001276,0.78368,0.78444,0.78507,4.692300
data,265.0,775.66,0.001289,0.77571,0.77646,0.77709,5.085300
data,270.0,767.46,0.001303,0.76751,0.76825,0.76887,5.503000
data,275.0,759.00,0.001318,0.75905,0.75978,0.76040,5.946400
data,280.0,750.28,0.001333,0.75033,0.75105,0.75166,6.416600
data,285.0,741.25,0.001349,0.74130,0.74201,0.74262,6.914700
data,290.0,731.91,0.001366,0.73196,0.73266,0.73326,7.441800
data,295.0,722.21,0.001385,0.72226,0.72295,0.72354,7.999100
data,300.0,712.14,0.001404,0.71219,0.71287,0.71345,8.587900
data,305.0,701.64,0.001425,0.70169,0.70236,0.70293,9.209400
data,310.0,690.67,0.001448,0.69072,0.69138,0.69194,9.865100
data,315.0,679.18,0.001472,0.67923,0.67988,0.68043,10.556000
data,320.0,667.09,0.001499,0.66714,0.66778,0.66832,11.284000
data,325.0,654.33,0.001528,0.65438,0.65500,0.65554,12.051000
data,330.0,640.77,0.001561,0.64081,0.64143,0.64195,12.858000
data,335.0,626.29,0.001597,0.62633,0.62694,0.62744,13.707000
data,340.0,610.67,0.001638,0.61071,0.61130,0.61180,14.601000
data,345.0,593.63,0.001685,0.59367,0.59424,0.59472,15.541000
data,350.0,574.71,0.001740,0.57475,0.57530,0.57577,16.529000
data,355.0,553.14,0.001808,0.55318,0.55371,0.55416,17.570000
data,360.0,527.59,0.001895,0.52763,0.52813,0.52856,18.666000
data,365.0,495.74,0.002017,0.49577,0.49625,0.49665,19.821000
data,370.0,451.43,0.002215,0.45146,0.45190,0.45226,21.044000
